Student ID,Operating System,DSA,Frontend,Backend,Machine Learning,Data Analytics,Project 1,Project 2,Project 3,Project 4
162,5,81,92,13,17,46,Game Development,Game Development,AI,Cybersecurity
163,75,90,13,93,68,79,Data Science,Cybersecurity,Game Development,Web Development
164,75,79,13,96,12,28,Robotics,Data Science,AI,Machine Learning
165,68,99,58,93,35,60,Machine Learning,Data Science,Game Development,Cybersecurity
166,60,69,48,7,22,33,Data Science,Game Development,Robotics,Robotics
167,87,62,64,29,68,74,AI,Cybersecurity,Game Development,Robotics
168,24,29,18,67,60,11,Data Science,Robotics,AI,Machine Learning
169,11,17,97,87,74,89,Machine Learning,Web Development,Game Development,Machine Learning
170,59,85,85,22,17,69,Game Development,Data Science,Robotics,Cybersecurity
171,77,30,46,29,8,27,Machine Learning,Data Science,Machine Learning,AI
172,59,42,51,57,64,87,Robotics,Data Science,Data Science,Machine Learning
173,31,83,16,97,76,96,Cybersecurity,Cybersecurity,Game Development,Web Development
174,38,90,82,26,72,47,Game Development,Cybersecurity,Cybersecurity,Data Science
175,36,81,30,35,97,41,Machine Learning,Game Development,Game Development,Machine Learning
176,53,76,86,73,63,97,Web Development,AI,AI,Data Science
177,54,27,26,95,31,38,Game Development,Machine Learning,Data Science,Game Development
178,99,97,48,44,94,70,AI,Web Development,Game Development,Web Development
179,70,73,93,81,19,32,Web Development,AI,Data Science,Robotics
180,48,40,16,5,87,8,Cybersecurity,Cybersecurity,AI,Web Development
181,13,85,54,42,24,70,Cybersecurity,Robotics,Robotics,Machine Learning
182,100,67,6,61,91,9,Web Development,Web Development,Cybersecurity,Cybersecurity
183,45,61,29,62,18,89,Web Development,Robotics,Robotics,Data Science
184,83,87,52,78,44,23,Robotics,Game Development,Game Development,Cybersecurity
185,52,23,11,71,52,42,Robotics,Machine Learning,AI,Machine Learning
186,79,80,59,29,47,81,Robotics,Robotics,AI,Game Development
187,78,81,97,6,66,39,Cybersecurity,Cybersecurity,Web Development,Game Development
188,22,47,49,89,72,11,Cybersecurity,Game Development,Robotics,Robotics
189,99,87,80,34,29,74,Data Science,Web Development,Web Development,Cybersecurity
190,40,49,86,40,36,57,Cybersecurity,Game Development,AI,Game Development
191,53,44,45,51,38,43,Web Development,Data Science,AI,Web Development
192,71,49,97,19,64,69,Robotics,Game Development,Cybersecurity,Game Development
193,45,91,78,45,45,42,Web Development,Web Development,Web Development,Data Science
194,51,62,54,16,14,85,Machine Learning,Game Development,Cybersecurity,Game Development
195,55,92,14,63,9,6,Machine Learning,Machine Learning,Data Science,Web Development
196,7,82,13,31,66,60,Data Science,Robotics,AI,Web Development
197,55,79,45,13,32,53,Web Development,Data Science,Machine Learning,Machine Learning
198,69,66,53,91,44,19,Web Development,AI,AI,Robotics
199,75,11,60,26,33,60,Cybersecurity,AI,Robotics,Cybersecurity
200,18,33,53,15,18,53,Data Science,AI,Cybersecurity,AI
201,22,17,39,99,96,37,Data Science,Game Development,Machine Learning,Robotics
202,43,56,9,20,33,74,Cybersecurity,Game Development,Cybersecurity,Machine Learning
203,42,27,58,13,9,33,Data Science,Game Development,AI,Robotics
204,82,54,92,72,45,49,Game Development,Machine Learning,Machine Learning,Machine Learning
205,7,17,81,41,26,52,Game Development,Game Development,AI,Cybersecurity
206,12,49,41,62,17,91,Cybersecurity,Cybersecurity,Cybersecurity,Robotics
207,41,92,53,100,51,23,Machine Learning,AI,Data Science,Robotics
208,17,42,71,69,81,61,Cybersecurity,Robotics,Data Science,Machine Learning
209,32,88,33,47,73,52,Game Development,Data Science,Robotics,Machine Learning
210,23,27,13,83,98,92,Robotics,Robotics,Machine Learning,Web Development
211,80,39,26,69,67,37,Machine Learning,Web Development,Web Development,Robotics
212,70,48,79,44,59,85,Web Development,AI,Machine Learning,Machine Learning
213,89,18,17,51,10,33,AI,Data Science,AI,Game Development
214,15,93,32,37,80,24,Data Science,Data Science,Cybersecurity,Cybersecurity
215,99,48,58,44,80,53,Robotics,Game Development,Data Science,Machine Learning
216,30,21,27,40,64,76,Web Development,Machine Learning,Web Development,Data Science
217,15,8,13,29,91,36,Robotics,Robotics,AI,Web Development
218,47,75,24,5,25,12,Machine Learning,Robotics,Game Development,Data Science
219,75,87,53,74,54,99,Game Development,Cybersecurity,Game Development,Robotics
220,78,96,50,69,22,38,Data Science,AI,Robotics,Robotics
221,58,14,58,63,42,75,Cybersecurity,Web Development,Web Development,Web Development
222,68,51,36,29,19,72,AI,Machine Learning,Robotics,Web Development
223,33,91,91,74,96,7,Cybersecurity,Data Science,Machine Learning,Robotics
224,87,43,77,14,78,46,Machine Learning,Machine Learning,Cybersecurity,AI
225,100,98,77,28,16,27,Web Development,Game Development,Data Science,AI
226,44,79,60,20,57,83,Cybersecurity,AI,Robotics,Machine Learning
227,31,40,21,66,68,95,Machine Learning,Data Science,Data Science,Robotics
228,29,24,64,99,86,83,AI,Web Development,AI,Web Development
229,33,70,55,78,37,47,Cybersecurity,Web Development,Machine Learning,Web Development
230,100,74,7,96,15,36,Machine Learning,Machine Learning,AI,Cybersecurity
231,90,68,31,76,56,19,Cybersecurity,Web Development,Web Development,Robotics
232,69,63,57,68,86,42,Robotics,Web Development,Machine Learning,Data Science
233,54,11,39,59,28,50,AI,Web Development,Machine Learning,Web Development
234,48,25,58,20,28,11,Cybersecurity,Game Development,Game Development,Cybersecurity
235,10,58,82,27,98,58,Data Science,AI,Data Science,Game Development
236,7,90,71,38,10,100,Data Science,Machine Learning,Robotics,AI
237,57,18,35,83,66,94,Robotics,Cybersecurity,Machine Learning,Machine Learning
238,73,47,41,15,35,17,AI,Game Development,Cybersecurity,Machine Learning
239,79,74,17,79,35,61,Data Science,AI,Game Development,Web Development
240,25,68,91,85,67,9,Web Development,Game Development,Web Development,Data Science
241,81,86,97,9,54,10,Robotics,Game Development,Game Development,Machine Learning
242,82,12,48,77,99,77,AI,Game Development,Cybersecurity,Data Science
243,78,59,77,77,21,64,Game Development,Game Development,AI,Game Development
244,98,69,37,89,18,12,Web Development,AI,Cybersecurity,Game Development
245,15,49,91,71,19,86,Data Science,Cybersecurity,AI,Cybersecurity
246,18,66,6,16,82,46,AI,Robotics,Game Development,Game Development
247,5,83,92,76,66,10,Cybersecurity,Game Development,Machine Learning,Robotics
248,36,13,68,23,35,33,Machine Learning,Cybersecurity,Web Development,Data Science
249,92,39,12,32,25,75,Machine Learning,Robotics,Robotics,AI
250,26,99,41,76,30,43,Cybersecurity,Robotics,AI,Machine Learning
251,35,48,56,17,63,49,Data Science,AI,Machine Learning,AI
252,27,85,98,15,43,20,Cybersecurity,Web Development,Data Science,AI
253,6,83,73,99,34,97,Game Development,Machine Learning,Data Science,Machine Learning
254,80,47,57,11,94,20,Data Science,Game Development,Machine Learning,Web Development
255,65,21,87,20,81,93,AI,Data Science,Game Development,Game Development
256,8,14,99,99,60,55,Machine Learning,Machine Learning,Cybersecurity,Data Science
257,25,83,99,12,39,60,AI,Cybersecurity,Machine Learning,Data Science
258,55,20,100,87,56,38,Game Development,AI,Cybersecurity,Data Science
259,91,90,82,45,81,62,Cybersecurity,Web Development,Web Development,AI
260,10,57,100,63,25,53,Cybersecurity,Cybersecurity,Web Development,Game Development
261,55,13,77,26,20,38,Cybersecurity,Robotics,Web Development,Robotics
262,82,30,37,27,95,82,Data Science,Robotics,Data Science,AI
263,53,29,52,24,19,13,AI,Game Development,Cybersecurity,Robotics
264,75,88,75,63,44,96,Game Development,AI,Machine Learning,Game Development
265,88,90,96,15,55,50,Machine Learning,Data Science,Data Science,Game Development
266,44,52,69,17,99,76,AI,Data Science,Web Development,Robotics
267,95,35,86,24,92,72,Robotics,Web Development,Data Science,Robotics
268,73,34,84,89,72,36,Cybersecurity,Machine Learning,Machine Learning,Machine Learning
269,62,73,76,9,78,84,Cybersecurity,Web Development,Cybersecurity,Machine Learning
270,45,61,47,32,97,18,Robotics,Data Science,Cybersecurity,Web Development
271,32,30,47,41,63,17,Cybersecurity,Robotics,Game Development,Data Science
272,36,64,69,61,23,80,Machine Learning,Data Science,Game Development,Machine Learning
273,9,99,87,34,71,43,AI,Data Science,Data Science,Data Science
274,99,10,21,62,43,74,AI,Cybersecurity,Data Science,Robotics
275,28,83,71,13,85,46,Game Development,Robotics,Cybersecurity,Machine Learning
276,36,79,96,40,27,56,AI,Data Science,Cybersecurity,Web Development
277,30,94,64,84,25,56,Machine Learning,Robotics,AI,Cybersecurity
278,92,58,44,11,28,35,Cybersecurity,AI,Cybersecurity,Machine Learning
279,20,73,90,47,33,96,AI,Game Development,Robotics,Data Science
280,89,82,8,76,77,43,Machine Learning,Robotics,Machine Learning,Cybersecurity
281,63,80,81,6,92,31,Web Development,Game Development,Web Development,Robotics
282,32,49,68,31,49,20,Machine Learning,Game Development,Game Development,Cybersecurity
283,23,41,97,51,75,42,Game Development,Web Development,Cybersecurity,Web Development
284,93,35,74,87,100,91,Web Development,AI,Machine Learning,Cybersecurity
285,65,42,79,20,16,55,Machine Learning,Machine Learning,Web Development,Game Development
286,55,22,29,12,16,49,Cybersecurity,Machine Learning,Web Development,Data Science
287,83,77,64,77,38,100,Web Development,Robotics,Web Development,Game Development
288,54,77,89,80,65,89,Machine Learning,Cybersecurity,Game Development,Game Development
289,19,80,58,41,31,26,AI,Cybersecurity,Game Development,Data Science
290,75,39,74,51,90,24,Robotics,AI,Data Science,Web Development
291,33,33,53,51,84,11,Robotics,Web Development,Data Science,Web Development
292,67,70,15,49,71,50,Cybersecurity,Robotics,Robotics,Web Development
293,34,22,74,28,44,64,Data Science,Data Science,AI,Cybersecurity
294,10,50,46,45,92,30,Game Development,Cybersecurity,AI,AI
295,92,80,22,18,56,6,Machine Learning,Game Development,Game Development,Web Development
296,30,6,21,19,74,52,Cybersecurity,Data Science,Machine Learning,Web Development
297,65,80,42,66,42,28,Game Development,Web Development,Web Development,Machine Learning
298,82,83,53,55,100,78,AI,Game Development,Data Science,Robotics
299,61,62,30,61,14,86,AI,Machine Learning,Data Science,Cybersecurity
300,41,10,48,51,14,59,Machine Learning,AI,Web Development,Cybersecurity
301,43,13,98,29,61,65,Machine Learning,Robotics,Game Development,Machine Learning
302,25,77,76,67,21,54,AI,Data Science,Data Science,Web Development
303,76,12,20,25,13,6,Robotics,Game Development,AI,Cybersecurity
304,81,36,59,97,51,30,Data Science,Robotics,Game Development,Machine Learning
305,89,48,59,55,77,79,Data Science,Web Development,Cybersecurity,Machine Learning
306,19,18,71,57,31,64,AI,AI,Cybersecurity,Web Development
307,19,15,56,34,30,65,Game Development,Web Development,AI,Game Development
308,8,42,92,84,20,56,Web Development,Robotics,Cybersecurity,Game Development
309,88,87,90,24,28,82,Game Development,AI,Game Development,Cybersecurity
310,99,88,92,31,84,7,Machine Learning,Machine Learning,Data Science,Game Development
311,49,19,31,87,42,40,Data Science,Machine Learning,Robotics,Game Development
312,56,24,20,41,85,30,Web Development,AI,Data Science,Robotics
313,72,22,36,32,80,71,Machine Learning,AI,Machine Learning,AI
314,66,34,6,94,92,85,Robotics,Web Development,Web Development,Game Development
315,65,69,8,86,67,84,Cybersecurity,Game Development,Web Development,Cybersecurity
316,63,65,10,11,40,82,Data Science,Cybersecurity,Web Development,Machine Learning
317,31,77,53,79,33,46,Robotics,Robotics,Game Development,Cybersecurity
318,5,88,69,60,74,78,Game Development,Game Development,Machine Learning,Robotics
319,98,64,74,89,72,85,Robotics,Game Development,Game Development,Data Science
320,6,83,35,90,55,26,Web Development,Robotics,Game Development,Web Development
321,24,86,52,88,21,99,Game Development,Game Development,Web Development,Robotics
322,16,78,85,72,75,100,Web Development,Machine Learning,Cybersecurity,Game Development
323,81,89,19,88,72,71,Data Science,AI,Game Development,Machine Learning
324,33,35,81,67,8,62,Robotics,Game Development,Machine Learning,Cybersecurity
325,57,90,81,86,59,70,Game Development,Machine Learning,AI,Data Science
326,53,37,29,17,62,88,Robotics,AI,Machine Learning,Robotics
327,13,32,66,17,46,31,Web Development,Game Development,Game Development,AI
328,35,65,52,15,58,99,AI,Machine Learning,Machine Learning,Data Science
329,40,100,94,41,91,7,Robotics,AI,Machine Learning,Robotics
330,54,26,83,27,76,60,Web Development,Game Development,Web Development,Machine Learning
331,39,37,30,7,72,11,Web Development,Robotics,AI,Web Development
332,58,96,5,40,13,73,Robotics,Web Development,AI,Machine Learning
333,46,48,57,68,62,7,Web Development,Machine Learning,AI,Web Development
334,70,83,39,36,71,33,Machine Learning,Cybersecurity,Robotics,AI
335,84,7,61,99,7,8,Machine Learning,AI,Robotics,Cybersecurity
336,23,91,35,96,60,68,Cybersecurity,Cybersecurity,Web Development,AI
337,36,85,42,83,90,34,Game Development,Web Development,Robotics,Cybersecurity
338,35,34,34,12,30,27,Web Development,Cybersecurity,Data Science,Robotics
339,51,89,26,84,63,39,Robotics,Robotics,Machine Learning,Data Science
340,13,34,14,12,89,82,Machine Learning,Machine Learning,Robotics,Game Development
341,70,39,47,31,40,93,Game Development,Machine Learning,Data Science,Game Development
342,86,97,88,37,54,83,Robotics,Machine Learning,Game Development,Game Development
343,31,22,12,97,87,31,Machine Learning,Game Development,Machine Learning,Robotics
344,7,77,27,100,61,9,Game Development,AI,Game Development,Game Development
345,52,84,84,54,78,7,Machine Learning,Game Development,Web Development,Web Development
346,92,72,26,11,88,92,Web Development,Web Development,AI,Data Science
347,26,8,83,40,64,73,Cybersecurity,Web Development,Game Development,Game Development
348,70,90,27,52,83,50,Data Science,Data Science,AI,Cybersecurity
349,75,63,17,61,12,96,Game Development,AI,Machine Learning,Cybersecurity
350,12,27,25,71,10,68,Cybersecurity,Game Development,Robotics,Cybersecurity
351,84,87,87,23,86,81,Machine Learning,Data Science,Cybersecurity,Cybersecurity
352,54,33,42,80,96,54,Data Science,Machine Learning,Game Development,Web Development
353,78,70,5,30,57,63,Robotics,Game Development,Data Science,Web Development
354,57,79,56,78,59,79,Data Science,Machine Learning,AI,Game Development
355,56,8,75,55,82,5,Web Development,Data Science,Data Science,Robotics
356,90,56,86,20,60,45,AI,Robotics,Cybersecurity,AI
357,65,62,79,65,33,22,Web Development,Web Development,AI,AI
358,28,73,53,24,81,14,Game Development,Game Development,Data Science,Game Development
359,95,73,67,67,67,38,AI,Game Development,Machine Learning,Game Development
360,25,42,11,38,13,35,Data Science,Data Science,Web Development,AI
361,64,23,94,9,12,48,Web Development,Web Development,Game Development,Data Science
362,52,24,71,49,6,63,Robotics,Cybersecurity,Robotics,AI
363,67,35,75,83,71,50,Robotics,Data Science,Machine Learning,Game Development
364,69,65,58,56,86,42,AI,Web Development,Game Development,Game Development
365,58,88,83,88,39,43,Game Development,Game Development,Cybersecurity,Robotics
366,13,82,39,6,52,24,AI,Data Science,Game Development,Machine Learning
367,96,7,33,44,23,16,Robotics,AI,AI,Web Development
368,59,8,80,88,74,15,Machine Learning,Cybersecurity,Web Development,Machine Learning
369,73,96,36,9,8,91,Web Development,Cybersecurity,Cybersecurity,AI
370,28,82,73,36,66,58,AI,Machine Learning,Cybersecurity,AI
371,35,30,11,36,28,39,Game Development,Machine Learning,AI,Cybersecurity
372,73,39,29,49,73,46,Data Science,Cybersecurity,Cybersecurity,AI
373,86,7,55,7,57,57,Web Development,Robotics,Machine Learning,Machine Learning
374,56,58,88,9,64,80,AI,Game Development,Web Development,Machine Learning
375,69,96,56,6,62,83,Robotics,Machine Learning,Cybersecurity,Data Science
376,17,76,23,32,99,20,Data Science,Machine Learning,Data Science,AI
377,75,51,41,23,87,99,AI,AI,Game Development,Robotics
378,41,66,33,39,84,91,Web Development,Machine Learning,Data Science,Game Development
379,20,62,58,19,33,74,Cybersecurity,Robotics,Web Development,Web Development
380,41,81,38,70,19,77,AI,Web Development,Robotics,Machine Learning
381,65,37,38,47,33,93,Data Science,Data Science,Machine Learning,Machine Learning
382,9,41,47,98,27,88,Game Development,Robotics,Robotics,Data Science
383,37,19,70,57,77,55,Robotics,Data Science,AI,Machine Learning
384,37,5,47,47,5,7,Web Development,Data Science,Machine Learning,Robotics
385,41,89,30,99,84,6,Data Science,AI,AI,Machine Learning
386,29,19,86,76,20,26,Game Development,Data Science,Data Science,Cybersecurity
387,18,76,53,98,11,52,Robotics,Robotics,Web Development,Data Science
388,73,81,75,92,76,88,Robotics,AI,Game Development,Web Development
389,41,85,59,96,77,69,AI,Data Science,Web Development,Game Development
