Student ID,Operating System,DSA,Frontend,Backend,Machine Learning,Data Analytics,Attendance (Operating System),Attendance (DSA),Attendance (Frontend),Attendance (Backend),Attendance (Machine Learning),Attendance (Data Analytics),Strong_Operating System,Weak_Operating System,Strong_DSA,Weak_DSA,Strong_Frontend,Weak_Frontend,Strong_Backend,Weak_Backend,Strong_Machine Learning,Weak_Machine Learning,Strong_Data Analytics,Weak_Data Analytics,Project 1_AI,Project 1_Cybersecurity,Project 1_Data Science,Project 1_Game Development,Project 1_Machine Learning,Project 1_Robotics,Project 1_Web Development,Project 2_AI,Project 2_Cybersecurity,Project 2_Data Science,Project 2_Game Development,Project 2_Machine Learning,Project 2_Robotics,Project 2_Web Development,Project 3_AI,Project 3_Cybersecurity,Project 3_Data Science,Project 3_Game Development,Project 3_Machine Learning,Project 3_Robotics,Project 3_Web Development,Project 4_AI,Project 4_Cybersecurity,Project 4_Data Science,Project 4_Game Development,Project 4_Machine Learning,Project 4_Robotics,Project 4_Web Development
11,0.9733333333333333,0.6666666666666666,0.6133333333333334,0.5866666666666667,0.33333333333333337,0.3733333333333333,66,55,74,73,73,76,1,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.3466666666666667,0.36,0.22666666666666668,0.9866666666666667,0.0,0.4666666666666667,78,60,60,92,94,88,0,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0,0.6133333333333334,1.0,0.19999999999999996,0.013333333333333308,0.5333333333333333,81,57,91,96,61,77,0,1,0,0,1,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.48,0.14666666666666667,0.8533333333333334,0.06666666666666665,0.6666666666666666,0.6933333333333335,76,83,96,89,68,100,0,1,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.22666666666666668,0.21333333333333337,0.7866666666666667,0.5333333333333333,0.7733333333333333,1.0,57,90,60,99,79,98,0,1,0,1,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.44000000000000006,0.64,0.30666666666666664,0.36,0.4,0.4,75,58,69,90,50,99,0,1,0,0,0,1,0,1,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.08000000000000002,0.5866666666666667,0.8933333333333334,0.6666666666666666,0.10666666666666663,0.7733333333333333,61,88,60,54,82,54,0,1,0,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,0.053333333333333344,0.7733333333333333,0.9466666666666667,0.053333333333333344,0.7733333333333333,0.5466666666666666,50,59,61,94,68,98,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0.06666666666666665,0.3466666666666667,0.44000000000000006,1.0,0.2666666666666667,0.5733333333333334,93,53,86,80,92,90,0,1,0,1,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,0.88,0.4933333333333334,0.19999999999999996,0.3866666666666667,0.6,0.12,57,60,80,79,83,66,1,0,0,1,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,0.06666666666666665,0.06666666666666665,0.21333333333333337,0.7600000000000001,0.9333333333333335,0.06666666666666665,52,53,61,65,78,92,0,1,0,1,0,1,0,0,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.88,0.9600000000000001,0.92,0.3466666666666667,0.053333333333333344,0.68,70,78,60,62,54,90,1,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,0.14666666666666667,0.31999999999999995,0.84,0.7066666666666667,0.8933333333333334,0.3866666666666667,53,72,94,57,53,88,0,1,0,1,1,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,0.41333333333333333,0.06666666666666665,0.42666666666666664,0.41333333333333333,0.7733333333333333,0.15999999999999998,74,51,95,80,52,62,0,1,0,1,0,1,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,0.5733333333333334,0.026666666666666672,0.026666666666666672,0.21333333333333337,0.56,0.03999999999999998,55,98,53,97,61,89,0,0,0,1,0,1,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,0.31999999999999995,0.6533333333333333,0.24,0.3466666666666667,0.09333333333333332,0.7333333333333333,98,81,67,100,64,56,0,1,0,0,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,0.24,0.2533333333333333,0.5333333333333333,0.42666666666666664,0.03999999999999998,0.14666666666666667,71,78,53,92,53,65,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,0.7066666666666667,0.6,0.45333333333333337,0.33333333333333337,0.5466666666666666,0.6,64,92,77,83,92,61,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,0.9066666666666666,0.33333333333333337,0.026666666666666672,0.08000000000000002,0.6133333333333334,0.15999999999999998,89,75,66,91,60,70,1,0,0,1,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,0.48,0.10666666666666663,0.03999999999999998,0.44000000000000006,0.64,0.9866666666666667,93,98,53,70,99,78,0,1,0,1,0,1,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,0.6933333333333335,0.9466666666666667,0.9066666666666666,0.15999999999999998,1.0,0.4,91,58,76,70,67,84,0,0,1,0,1,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,0.4666666666666667,0.026666666666666672,0.053333333333333344,0.5466666666666666,0.7733333333333333,0.3733333333333333,51,84,64,68,73,64,0,1,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.6666666666666666,0.52,0.2533333333333333,0.2666666666666667,0.3866666666666667,0.64,56,96,65,58,75,79,0,0,0,1,0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,0.19999999999999996,0.21333333333333337,0.7333333333333333,0.36,0.15999999999999998,0.4,81,72,81,100,85,60,0,1,0,1,0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,0.7333333333333333,0.9733333333333333,0.21333333333333337,0.24,0.4666666666666667,0.06666666666666665,98,71,98,71,73,74,0,0,1,0,0,1,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,0.6666666666666666,0.9733333333333333,0.88,0.7999999999999999,0.6,0.1333333333333333,95,100,99,57,95,70,0,0,1,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,0.2666666666666667,0.6666666666666666,0.3466666666666667,0.29333333333333333,0.52,0.7600000000000001,91,86,59,95,59,65,0,1,0,0,0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,0.52,0.6266666666666667,0.1333333333333333,0.45333333333333337,0.19999999999999996,0.64,55,97,60,86,61,51,0,1,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,0.7600000000000001,0.09333333333333332,0.09333333333333332,0.7999999999999999,0.2533333333333333,0.5066666666666667,64,88,90,51,91,81,0,0,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,0.7866666666666667,0.9600000000000001,0.64,1.0,0.5466666666666666,0.33333333333333337,73,75,61,58,64,74,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,0.92,0.053333333333333344,0.41333333333333333,0.9333333333333335,0.6,0.64,86,60,84,90,71,80,1,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,0.21333333333333337,0.7866666666666667,0.92,0.31999999999999995,0.2533333333333333,0.7066666666666667,50,65,60,62,75,50,0,1,0,0,1,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,0.33333333333333337,0.52,0.7333333333333333,0.6666666666666666,0.15999999999999998,0.64,81,98,70,51,67,86,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,0.21333333333333337,0.5866666666666667,0.29333333333333333,0.21333333333333337,0.5866666666666667,0.28,61,88,91,99,84,72,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,0.64,1.0,0.09333333333333332,0.5866666666666667,0.8133333333333334,0.8666666666666668,67,65,53,86,60,80,0,0,1,0,0,1,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,0.33333333333333337,0.08000000000000002,0.9466666666666667,0.6666666666666666,0.09333333333333332,0.4933333333333334,96,52,63,90,90,82,0,1,0,1,1,0,0,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,0.7999999999999999,0.12,0.2666666666666667,0.64,0.1333333333333333,0.5066666666666667,83,82,96,89,71,67,1,0,0,1,0,1,0,0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,0.5866666666666667,0.4,0.28,0.1333333333333333,0.7066666666666667,0.8133333333333334,95,67,94,79,67,63,0,0,0,1,0,1,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,0.7733333333333333,0.31999999999999995,0.6,0.92,0.48,0.0,76,73,77,87,85,56,0,0,0,1,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,0.21333333333333337,0.7066666666666667,0.9866666666666667,0.17333333333333334,0.2533333333333333,0.41333333333333333,88,96,57,59,73,62,0,1,0,0,1,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,0.5866666666666667,0.5866666666666667,0.12,0.8533333333333334,0.5733333333333334,0.15999999999999998,94,58,80,76,75,93,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,0.7600000000000001,0.42666666666666664,0.44000000000000006,0.6133333333333334,0.42666666666666664,0.29333333333333333,55,78,57,66,97,87,0,0,0,1,0,1,0,0,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,0.8266666666666668,0.68,0.013333333333333308,0.9466666666666667,0.7066666666666667,0.36,58,69,70,69,82,54,1,0,0,0,0,1,1,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,0.4933333333333334,0.22666666666666668,0.6533333333333333,0.7200000000000001,0.5466666666666666,0.92,95,91,58,80,80,96,0,1,0,1,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,0.9333333333333335,0.1333333333333333,0.36,1.0,0.18666666666666665,0.6,100,81,63,75,68,80,1,0,0,1,0,1,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,0.06666666666666665,0.08000000000000002,0.5333333333333333,0.0,0.013333333333333308,0.7466666666666667,57,80,62,99,60,84,0,1,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,0.64,0.053333333333333344,0.45333333333333337,0.8933333333333334,0.5866666666666667,0.026666666666666672,86,94,85,95,64,63,0,0,0,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,0.42666666666666664,0.68,0.08000000000000002,0.8266666666666668,0.5866666666666667,0.09333333333333332,79,82,62,92,58,56,0,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,0.12,0.8933333333333334,0.7333333333333333,0.08000000000000002,0.3466666666666667,0.84,74,65,99,97,72,77,0,1,1,0,0,0,0,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.03999999999999998,0.29333333333333333,0.0,0.026666666666666672,0.1333333333333333,0.3733333333333333,89,75,57,92,85,68,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,0.3866666666666667,0.24,0.3466666666666667,0.9066666666666666,0.33333333333333337,0.3866666666666667,53,74,94,63,94,89,0,1,0,1,0,1,1,0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.3733333333333333,0.03999999999999998,0.6933333333333335,0.6133333333333334,0.8533333333333334,0.7999999999999999,65,59,79,86,86,64,0,1,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,0.9333333333333335,0.8533333333333334,0.88,0.45333333333333337,0.4,0.24,91,59,94,65,65,72,1,0,1,0,1,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,0.8533333333333334,0.84,0.7866666666666667,0.3866666666666667,0.3466666666666667,0.9866666666666667,85,71,75,50,73,83,1,0,1,0,0,0,0,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,0.21333333333333337,0.68,0.7999999999999999,0.22666666666666668,0.9733333333333333,0.14666666666666667,71,93,82,80,72,63,0,1,0,0,1,0,0,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
